elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response,gpt_values,memnet_values,inner_join_values,outer_join_values,inner_join_list,outer_join_list,outer_join_source
"I’m wondering, are you meeting up with anyone?",no we're just going for a short walk,08f4a961-bae1-4f56-aa2c-8f57f7ea3553,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9935897588729858,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: short walk.","               value
0  physical activity
1         short walk","      value
0  activity
1   walking","Empty DataFrame
Columns: [value, _merge]
Index: []","               value      _merge
0  physical activity   left_only
1         short walk   left_only
2           activity  right_only
3            walking  right_only",[],physical activity,left_only
"I’m wondering, are you meeting up with anyone?",no we're just going for a short walk,08f4a961-bae1-4f56-aa2c-8f57f7ea3553,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9935897588729858,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: short walk.","               value
0  physical activity
1         short walk","      value
0  activity
1   walking","Empty DataFrame
Columns: [value, _merge]
Index: []","               value      _merge
0  physical activity   left_only
1         short walk   left_only
2           activity  right_only
3            walking  right_only",[],short walk,left_only
"I’m wondering, are you meeting up with anyone?",no we're just going for a short walk,08f4a961-bae1-4f56-aa2c-8f57f7ea3553,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9935897588729858,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: short walk.","               value
0  physical activity
1         short walk","      value
0  activity
1   walking","Empty DataFrame
Columns: [value, _merge]
Index: []","               value      _merge
0  physical activity   left_only
1         short walk   left_only
2           activity  right_only
3            walking  right_only",[],activity,right_only
"I’m wondering, are you meeting up with anyone?",no we're just going for a short walk,08f4a961-bae1-4f56-aa2c-8f57f7ea3553,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9935897588729858,"Information Items:
memory_name: activity, entity: type, value: physical activity.
memory_name: activity, entity: name, value: short walk.","               value
0  physical activity
1         short walk","      value
0  activity
1   walking","Empty DataFrame
Columns: [value, _merge]
Index: []","               value      _merge
0  physical activity   left_only
1         short walk   left_only
2           activity  right_only
3            walking  right_only",[],walking,right_only
What do you plan on doing?,gardening,08f6d402-c896-4645-ba86-e8b231c683b8,"  memory_name entity value
1       place   name  yard",['yard'],1,Match,0.9869001507759094,"Information Items:
memory_name: activity, entity: type, value: gardening.","       value
0  gardening","  value
0  yard","Empty DataFrame
Columns: [value, _merge]
Index: []","       value      _merge
0  gardening   left_only
1       yard  right_only",[],gardening,left_only
What do you plan on doing?,gardening,08f6d402-c896-4645-ba86-e8b231c683b8,"  memory_name entity value
1       place   name  yard",['yard'],1,Match,0.9869001507759094,"Information Items:
memory_name: activity, entity: type, value: gardening.","       value
0  gardening","  value
0  yard","Empty DataFrame
Columns: [value, _merge]
Index: []","       value      _merge
0  gardening   left_only
1       yard  right_only",[],yard,right_only
Do you have any plans for tomorrow?,yes i'm going to go visit a sister and meet one of my girlfriends at 4,09226c81-bf07-4d3b-a7c6-37256487755f,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.9851363897323608,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: activity, entity: type, value: visit.
memory_name: relationship, entity: type, value: girlfriend.
memory_name: activity, entity: type, value: meeting.
memory_name: time, entity: hour, value: 4.","        value
0      sister
1       visit
2  girlfriend
3     meeting
4           4","Empty DataFrame
Columns: [value]
Index: []","Empty DataFrame
Columns: [value, _merge]
Index: []","        value     _merge
0      sister  left_only
1       visit  left_only
2  girlfriend  left_only
3     meeting  left_only
4           4  left_only",[],sister,left_only
Do you have any plans for tomorrow?,yes i'm going to go visit a sister and meet one of my girlfriends at 4,09226c81-bf07-4d3b-a7c6-37256487755f,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.9851363897323608,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: activity, entity: type, value: visit.
memory_name: relationship, entity: type, value: girlfriend.
memory_name: activity, entity: type, value: meeting.
memory_name: time, entity: hour, value: 4.","        value
0      sister
1       visit
2  girlfriend
3     meeting
4           4","Empty DataFrame
Columns: [value]
Index: []","Empty DataFrame
Columns: [value, _merge]
Index: []","        value     _merge
0      sister  left_only
1       visit  left_only
2  girlfriend  left_only
3     meeting  left_only
4           4  left_only",[],visit,left_only
Do you have any plans for tomorrow?,yes i'm going to go visit a sister and meet one of my girlfriends at 4,09226c81-bf07-4d3b-a7c6-37256487755f,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.9851363897323608,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: activity, entity: type, value: visit.
memory_name: relationship, entity: type, value: girlfriend.
memory_name: activity, entity: type, value: meeting.
memory_name: time, entity: hour, value: 4.","        value
0      sister
1       visit
2  girlfriend
3     meeting
4           4","Empty DataFrame
Columns: [value]
Index: []","Empty DataFrame
Columns: [value, _merge]
Index: []","        value     _merge
0      sister  left_only
1       visit  left_only
2  girlfriend  left_only
3     meeting  left_only
4           4  left_only",[],girlfriend,left_only
Do you have any plans for tomorrow?,yes i'm going to go visit a sister and meet one of my girlfriends at 4,09226c81-bf07-4d3b-a7c6-37256487755f,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.9851363897323608,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: activity, entity: type, value: visit.
memory_name: relationship, entity: type, value: girlfriend.
memory_name: activity, entity: type, value: meeting.
memory_name: time, entity: hour, value: 4.","        value
0      sister
1       visit
2  girlfriend
3     meeting
4           4","Empty DataFrame
Columns: [value]
Index: []","Empty DataFrame
Columns: [value, _merge]
Index: []","        value     _merge
0      sister  left_only
1       visit  left_only
2  girlfriend  left_only
3     meeting  left_only
4           4  left_only",[],meeting,left_only
Do you have any plans for tomorrow?,yes i'm going to go visit a sister and meet one of my girlfriends at 4,09226c81-bf07-4d3b-a7c6-37256487755f,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.9851363897323608,"Information Items:
memory_name: relationship, entity: type, value: sister.
memory_name: activity, entity: type, value: visit.
memory_name: relationship, entity: type, value: girlfriend.
memory_name: activity, entity: type, value: meeting.
memory_name: time, entity: hour, value: 4.","        value
0      sister
1       visit
2  girlfriend
3     meeting
4           4","Empty DataFrame
Columns: [value]
Index: []","Empty DataFrame
Columns: [value, _merge]
Index: []","        value     _merge
0      sister  left_only
1       visit  left_only
2  girlfriend  left_only
3     meeting  left_only
4           4  left_only",[],4,left_only
How can I help you?,baseball games,092c745e-1485-4840-a7cd-3bc8619ca0c9,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9268613457679749,"Information Items:
memory_name: activity, entity: type, value: sports.
memory_name: activity, entity: name, value: baseball games.","            value
0          sports
1  baseball games","         value
0     activity
1  watching tv","Empty DataFrame
Columns: [value, _merge]
Index: []","            value      _merge
0          sports   left_only
1  baseball games   left_only
2        activity  right_only
3     watching tv  right_only",[],sports,left_only
How can I help you?,baseball games,092c745e-1485-4840-a7cd-3bc8619ca0c9,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9268613457679749,"Information Items:
memory_name: activity, entity: type, value: sports.
memory_name: activity, entity: name, value: baseball games.","            value
0          sports
1  baseball games","         value
0     activity
1  watching tv","Empty DataFrame
Columns: [value, _merge]
Index: []","            value      _merge
0          sports   left_only
1  baseball games   left_only
2        activity  right_only
3     watching tv  right_only",[],baseball games,left_only
How can I help you?,baseball games,092c745e-1485-4840-a7cd-3bc8619ca0c9,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9268613457679749,"Information Items:
memory_name: activity, entity: type, value: sports.
memory_name: activity, entity: name, value: baseball games.","            value
0          sports
1  baseball games","         value
0     activity
1  watching tv","Empty DataFrame
Columns: [value, _merge]
Index: []","            value      _merge
0          sports   left_only
1  baseball games   left_only
2        activity  right_only
3     watching tv  right_only",[],activity,right_only
How can I help you?,baseball games,092c745e-1485-4840-a7cd-3bc8619ca0c9,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9268613457679749,"Information Items:
memory_name: activity, entity: type, value: sports.
memory_name: activity, entity: name, value: baseball games.","            value
0          sports
1  baseball games","         value
0     activity
1  watching tv","Empty DataFrame
Columns: [value, _merge]
Index: []","            value      _merge
0          sports   left_only
1  baseball games   left_only
2        activity  right_only
3     watching tv  right_only",[],watching tv,right_only
